culture,snippet,type,translation,status_signal,notes
Wellness-Spiritual,You have such high vibration,phrase,He's complimenting your spiritual frequency,Standard wellness-spiritual compliment,Hierarchy framing
Wellness-Spiritual,You're a twin flame,phrase,Highest spiritual category for romantic connection,Heavy spiritual-wellness,Often in love-bombing
Wellness-Spiritual,This feels like a soul contract,phrase,Our connection is metaphysical and predestined,Wellness-spiritual framing,Pre-loads obligation
Wellness-Spiritual,The universe brought us together,phrase,Meeting framed as cosmically ordained,Standard framing,Removes randomness; increases stakes
Wellness-Spiritual,This is divine timing,phrase,Our meeting is on the cosmic schedule,Standard framing,Common in intense early stage
Wellness-Spiritual,We met for a reason,phrase,Pre-loaded meaning to the connection,Common framing,Heavy in early stage
Wellness-Spiritual,My ex wasn't doing her work,phrase about ex,His ex is described as developmentally deficient,Heavy pattern signal,How he describes exes predicts how he'll describe you
Wellness-Spiritual,She wasn't ready for the depth I bring,phrase about ex,Ex framed as having failed to keep up with him,Heavy positioning,Watch the pattern across exes
Wellness-Spiritual,She was in her ego,phrase about ex,Ex framed as spiritually unevolved,Standard wellness-spiritual dismissal,Reveals contempt framework
Wellness-Spiritual,She wasn't conscious enough,phrase about ex,Ex framed as lacking spiritual awareness,Direct status hierarchy,Standard framing
Wellness-Spiritual,They were low-vibration,phrase about people,People in his past framed as bad energy,Standard dismissal,Reveals worldview
Wellness-Spiritual,They were holding me back from my growth,phrase,Past people framed as obstacles to his development,Self-centered framing,Diagnostic
Wellness-Spiritual,He / she was a karmic relationship,phrase about ex,Past relationship framed as cosmic lesson rather than something specific happened,Standard framing,Removes accountability for what occurred
Wellness-Spiritual,You're being triggered right now,phrase,Your reaction is framed as your past trauma not his current behavior,Sometimes legitimate often deployed to dismiss,Pattern matters
Wellness-Spiritual,That's your trauma response,phrase,Your reaction is framed as symptom rather than substance,Standard deflection,Therapy-speak as dismissal
Wellness-Spiritual,I think this is about your attachment style,phrase,He's diagnosing you so he doesn't have to respond to what you said,Standard deflection,Common pattern
Wellness-Spiritual,I'm holding space for you,phrase,He's claiming to support you while sometimes doing nothing,Often deployed one-way,Watch for reciprocity
Wellness-Spiritual,You need to do your own work on this,phrase,He's refusing engagement and pointing you to therapy,Standard deflection,Locates problem in you
Wellness-Spiritual,That's coming from your wounds,phrase,He's blaming your past relationships for your present feelings,Standard deflection,Pathologizes ordinary response
Wellness-Spiritual,He / she wasn't on the same level of consciousness,phrase,Past partner framed as below him spiritually,Standard hierarchy framing,Reveals worldview
Wellness-Spiritual,He's still in his ego,phrase,Person framed as spiritually undeveloped,Standard dismissal,Pre-loaded judgment
Wellness-Spiritual,He's stuck in his story,phrase,Person who references past harm is dismissed as not moving on,Standard dismissal,Pathologizes memory of harm
Wellness-Spiritual,I had to release him with love,phrase,Framing his exit from relationship as spiritual practice,Common framing,Self-positions as evolved
Wellness-Spiritual,Plant medicine,lifestyle marker,Ayahuasca / psilocybin / MDMA-therapy as developmental experience,Standard signal,Specific to ceremony-experienced
Wellness-Spiritual,Sitting in ceremony,lifestyle marker,Shamanic or indigenous-influenced ritual participation,Tantric/spiritual signal,Specific framing
Wellness-Spiritual,Ayahuasca journey,lifestyle marker,Specific psychedelic experience,Strong signal,Common reference
Wellness-Spiritual,The medicine showed me,phrase,Insights attributed to psychedelic substance,Standard framing,Pre-loads authority
Wellness-Spiritual,My shaman,lifestyle marker,Specific spiritual practitioner he works with,Direct community signal,Specific path commitment
Wellness-Spiritual,My therapist,lifestyle marker,Specifically IFS or somatic or trauma-informed therapist,Standard wellness-spiritual infrastructure,Therapy as ongoing identity
Wellness-Spiritual,My coach,lifestyle marker,Life or relationship coach in addition to therapist,Self-development infrastructure,Significant paid support
Wellness-Spiritual,My healer,lifestyle marker,Energy worker or alternative practitioner,Spiritual-wellness signal,Specific path engagement
Wellness-Spiritual,My acupuncturist,lifestyle marker,Alternative medicine practitioner,Common wellness signal,Standard wellness infrastructure
Wellness-Spiritual,My Ayurvedic doctor,lifestyle marker,Specific traditional medicine system,Wellness-spiritual signal,Eastern medicine engagement
Wellness-Spiritual,My Reiki practitioner,lifestyle marker,Energy-healing practitioner,Spiritual-wellness signal,Specific energy work
Wellness-Spiritual,My breathwork facilitator,lifestyle marker,Holotropic or other specific breathing-practice teacher,Standard signal,Specific practice
Wellness-Spiritual,My astrologer,lifestyle marker,Specific astrology practitioner he consults,Standard wellness-spiritual,Astrology as guidance
Wellness-Spiritual,My human design reader,lifestyle marker,Specific typology system,Standard wellness-spiritual,Newer framework
Wellness-Spiritual,Alignment,vocabulary,Life-rightness as spatial orientation,Common signal,Vague but loaded
Wellness-Spiritual,My frequency,vocabulary,His emotional and spiritual state as electromagnetic property,Pseudo-physics framing,Pre-loads hierarchy
